phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC151,DRB1_401-C_102,-0.56564,0.077592,-7.29,3.10E-13,-0.600981,0.141275,-4.254,2.10E-05,0.319744,0.396594,0.806,0.4201,5.32E-12,0.000386572,1
HC151,DRB1_401-DRB1_1303,-0.539015,0.076778,-7.02,2.21E-12,0.592033,0.158304,3.74,0.000184,-0.005098,0.604479,-0.008,0.993271,3.67E-11,0.002733429,1
HC151,DRB1_401-DRB3_9901,-1.03E+00,3.04E-01,-3.404,0.000663,2.37E-01,4.27E-02,5.551,2.84E-08,2.34E-01,1.69E-01,1.381,0.167193,0.007082023,1.08E-06,1
HC151,DQB1_301-B_1801,-0.344798,0.058459,-5.898,3.68E-09,0.513833,0.091782,5.598,2.16E-08,-0.168396,0.182634,-0.922,0.3565,5.14E-08,8.41E-07,1
HC151,DQB1_301-A_301,-0.3122189,0.0646644,-4.828,1.38E-06,0.2746419,0.0539699,5.089,3.60E-07,-0.1195967,0.110822,-1.079,0.281,1.65E-05,1.06E-05,1
HC151,DQB1_301-DQB1_302,-0.387547,0.057638,-6.724,1.77E-11,-0.397989,0.075065,-5.302,1.15E-07,-0.256085,0.226718,-1.13,0.259,2.81E-10,3.83E-06,1
HC151,DQB1_301-DRB1_701,-0.4003687,0.0590612,-6.779,1.21E-11,-0.3522971,0.0629721,-5.594,2.21E-08,-0.160625,0.1826465,-0.879,0.379,1.94E-10,8.59E-07,1
HC151,DQB1_301-B_4402,-0.2934322,0.0661542,-4.436,9.18E-06,-0.2248209,0.0920532,-2.442,0.0146,-0.0188423,0.1176638,-0.16,0.8728,0.000105074,0.174529092,1
HC151,DQB1_301-DQA1_201,-0.396679,0.0589868,-6.725,1.76E-11,-0.3359042,0.0625081,-5.374,7.71E-08,-0.1794458,0.1824428,-0.984,0.325,2.79E-10,2.68E-06,1
HC151,DQB1_301-DQA1_101,-0.4847305,0.0609949,-7.947,1.91E-15,-0.4301206,0.0656498,-6.552,5.69E-11,0.5436588,0.1510968,3.598,0.000321,3.69E-14,3.57E-09,0.069195694
