GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC96	DRB4_101	-0.395204275714003	0.0737483182492508	-5.35882424299239	8.376529399916e-08	21431.7493255009	0.0001320077645990968
HC78	DQA1_102	-0.0721404878955149	0.0134682103391545	-5.3563529287769995	8.4918560795336e-08	147590.89118463598	0.00013368070611680227
HC303	DRB1_1302	-0.532616938779041	0.09951817375093301	-5.35195651913827	8.70083084084338e-08	27315.592264416602	0.00013682267708522872
HC219	C_304	-0.104228883093371	0.0194906529405224	-5.34763424352357	8.911131371609061e-08	149380.664560885	0.00013997870214545416
HC810	B_1801	0.422994750121921	0.0791470333070901	5.344416997674481	9.070852921356199e-08	20261.3720201937	0.0001423342783019901
HC639	B_3501	-0.795737934774755	0.14902502715809102	-5.33962616849991	9.31384331995522e-08	15388.3751859319	0.00014598998762021354
HC1158	DRB4_101	-0.0871865940326061	0.0163300392189883	-5.3390315150760195	9.34444016903009e-08	207791.17998000397	0.00014631225342177006
HC17	DQB1_201	0.34385417459811896	0.0644164581244412	5.33798635643477	9.39845293892167e-08	10657.166720264	0.0001470000732700744
HC1021	DQA1_101	-0.0645592019231271	0.0121023219639326	-5.33444756432088	9.583587600682051e-08	211850.088043975	0.00014968071001051283
HC1036	B_4403	0.0797754084849008	0.0149551249885869	5.334319074282679	9.59037564455141e-08	264061.26974615	0.00014968071001051283
HC1159	A_3101	-0.274023320288657	0.0513878969734375	-5.332448619765481	9.68971911269334e-08	87358.1953702706	0.0001510694574232352
HC156	DRB1_1501	-0.162366531499441	0.0304581903966362	-5.33080033268729	9.77808794506663e-08	51042.297080090495	0.00015228431802706804
HC1149	C_602	0.15309429573403302	0.0287265381635592	5.32936808683197	9.855507286058179e-08	66031.14635359519	0.00015332623973844518
HC1329	DPB1_201	-0.312055300680231	0.0585728361460002	-5.32764539354717	9.94941285276414e-08	22814.397807851	0.00015462214952566676
HC1242	C_602	-0.44449805215561206	0.0834569523278541	-5.32607577628088	1.00357277466739e-07	16739.309906116297	0.00015579745938281654
HC1329	B_4402	0.23372028620237	0.0439580996134679	5.31688786042886	1.05557076861905e-07	23497.757060458	0.0001636954446247121
HC1024	DRB5_101	-0.160910174855488	0.0302672011782172	-5.31632158216507	1.05885946777056e-07	51253.8586046396	0.00016403094738528832
HC1159	DRB5_9901	0.11242304618618303	0.0211508270310104	5.315302613054031	1.06480219281448e-07	86421.3201151933	0.00016477644410725588
HC261	DQA1_301	0.0824786168630286	0.0155225084863412	5.31348505530562	1.0754825987233901e-07	108538.853109949	0.0001662527308192603
HC1132	DPB1_201	-0.27187143585358103	0.0511704142924958	-5.313059110671531	1.0780005069352e-07	31733.1898398515	0.00016646543241209991
HC1176	DRB4_103	0.34632676490398495	0.0652047643100164	5.3113720840608	1.08802927557939e-07	8020.871571568459	0.00016783628771574458
HC1036	C_1601	0.0897516144259068	0.0169062411660057	5.308785882362481	1.1035788418748099e-07	264692.788516295	0.00017005496704363833
HC1232	DRB1_404	0.506873395021443	0.0956459467159596	5.29947595716427	1.1613552736594901e-07	12679.3733415191	0.00017876899960917117
HC1036	DRB1_1501	-0.0549747010481661	0.0103805098910455	-5.29595382357746	1.1839675666751803e-07	263712.597050749	0.000182057494120195
HC1023	DRB3_9901	0.0880063474638956	0.0166242940398144	5.2938396814399695	1.19774445797279e-07	78917.6333460712	0.0001839818790357215
HC430	DQB1_603	-0.24420033475925798	0.0461338183708519	-5.29330420465581	1.20125845772567e-07	61550.437588472	0.00018432742051773972
HC810	A_301	0.243921970980797	0.046134545550314	5.287187032432719	1.2421162255007e-07	20255.0087187907	0.00019039643415885997
HC219	DPB1_501	-0.20600796541843203	0.0390235632035398	-5.2790659926140595	1.29844038577155e-07	149769.32816007698	0.00019882095663433815
HC136	DRB1_401	0.202995841815	0.0384594629297506	5.27817671780255	1.3047560599649e-07	33800.7940755648	0.00019957838981304535
HC1242	DQA1_301	0.242868319183978	0.0460160052537002	5.2779096717538	1.30665842948863e-07	16655.577252452902	0.00019965987379973115
HC1020	DQB1_302	0.0639822041852467	0.012124093461876997	5.27727738048477	1.31117341920806e-07	244665.080191701	0.00020013998241106662
HC1212	DRB1_1301	-0.238394808321761	0.0452113413355655	-5.27289837636883	1.34285929419069e-07	63527.233165099904	0.00020476216345733942
HC1581	DRB5_101	-0.0549611430457216	0.010427027260863002	-5.271027079023179	1.35662450790793e-07	261778.03580479103	0.0002066449579605484
HC430	DQA1_103	-0.23171247500881698	0.0439712516627823	-5.269635642529161	1.3669482551048698e-07	61674.7711542817	0.00020800015487604706
HC422	C_702	-0.326488730482433	0.0619894975235201	-5.26683944096427	1.38792493896314e-07	16284.754509234199	0.00021097182743811652
cancer1047	DRB1_301	0.21317018956090397	0.040495689856621005	5.26402168516339	1.40937815111993e-07	25281.032955325	0.000214009668348799
HC422	C_602	-0.446476110036461	0.0848446772560845	-5.26227601395517	1.42282949355728e-07	16310.6445873601	0.00021582739246587382
HC303	DRB1_1101	-0.685597618333545	0.130384715716592	-5.2582667728001296	1.45419461771627e-07	26804.5518192317	0.0002203558341085748
HC1020	DQA1_301	0.048871794764751994	0.009300400198659341	5.25480556974278	1.48180929907848e-07	243160.783263492	0.00022430715198996478
HC156	DQB1_603	-0.276829677467238	0.0527352970047415	-5.24941914032167	1.52579554805062e-07	50966.8304947025	0.00023072592826760873
HC151	DQA1_201	-0.30123479466552	0.0574264658915706	-5.24557431819493	1.55796241745067e-07	19317.0526970631	0.0002353459646756134
HC382	DRB5_101	-0.0543206929065171	0.0103607225859594	-5.242944442903161	1.58034135297128e-07	264178.25694586104	0.0002384794000888525
HC639	DRB4_103	-0.275680615849382	0.0526040390476265	-5.24067392619391	1.5999120941270302e-07	15030.379811407	0.00024118302599975913
HC608	DQB1_501	-0.27231903582247896	0.0519745237529575	-5.23947149793716	1.6103711473224302e-07	25808.1496897736	0.00024250891911789928
HC303	DRB1_404	-0.5162264071480639	0.0986075627398204	-5.23516039545715	1.64841651255783e-07	27134.0693231752	0.0002479820647504216
HC1183	DRB3_101	-0.165628704754813	0.0316658858151019	-5.2305091265068	1.69043830440517e-07	42604.127457456605	0.00025404150867814224
HC810	DRB1_701	-0.290338482278518	0.0555609693379387	-5.22558345792333	1.73606791769209e-07	20270.2120603609	0.0002606301020063356
HC620	DQA1_102	-0.0826821074124108	0.0158296623845515	-5.22323884134775	1.7582037191263098e-07	116684.75699935	0.00026368171937939664
HC620	DRB3_101	0.0828129721270542	0.0158559136540827	5.2228445445482805	1.76195302547909e-07	116821.294123915	0.00026397243460717285
HC643	DPB1_501	-0.19724362892861602	0.0377714599222349	-5.22202820157619	1.76974008631559e-07	156482.07112736	0.0002648668604663883
HC38	C_401	-0.19641560409403896	0.037636492717563995	-5.21875419072663	1.80130637368903e-07	56654.3199288295	0.00026931470206392044
HC382	DPB1_301	-0.07903151625641	0.0151576122617641	-5.21398191823204	1.84829492279073e-07	240449.71010057602	0.0002760568609565387
HC151	A_301	0.247563221210787	0.0474823827929408	5.21379102414364	1.85019893196568e-07	19257.4970410453	0.000276058392449919
HC430	DRB1_1301	-0.239985935807262	0.0460472984742892	-5.21172671923978	1.87091013948303e-07	61652.4731831948	0.00027886317411324424
HC1212	DRB3_301	-0.274174613094554	0.0526410185290864	-5.20838351452225	1.9049287980969502e-07	63568.626418447304	0.00028364370399829725
